Topic,Description,Front_end,Back_end,DBMS
Low-cost Myoelectric Prosthetic Arm,"Many treatments are available to treat misarticulation, speech therapy or articulation therapy focuses on pronunciation and talking. It deals with a person's ability to move the lips, tongue, teeth, and jaw to produce speech sounds. Misarticulation therapy is one of the most effective treatments for the articulation problems but all are treatments are available in English for that we need materials or treatments in Hindi version that will help individual to treat articulation problem in our Indian context. We need software in which there are number of therapy activities and techniques should be involve in which 3 to 4 domain will be included that is 1. Position level in which position of sound will be shown 2.Phoneme level (Initial, medial and final level in which all the words should be there in all three level) 3.Picture level in which word related picture should be present and last included number of correct and incorrect word individual speak, will be shown it will help individual to determine their incorrect word production. So if this kind of app should be prepare in Hindi version it will very helpful for the professional along with children and their parents. I will share some link which is in English version.","HTML,CSS,React",Python,
APP Based Digital Audiometer,"To know a person Hearing Loss, generally we use a Pure Tone Audiometer. To use this it requires a bulk of the instrument to be carried. This testing requires a considerable amount of time for testing. It was observed that during a large level hearing testing it is consuming much time. So a hand held Mobile phone operated APP BASED AUDIOMETER will be of immense useful in finding and detecting the hearing loss in children in a schools","Angular,JavaScript",Python,
Ear Electronic Device for Tinnitus Frequency Finding and Adjusting to Provide Relief to Tinnitus Suffering Patient,"Various studies have shown that when a person suffers with TINNITUS NOISE he suffers due to anxiety or stress, as these stimulate an already sensitive hearing system which effects his day to day work performing, which has an impact on his livelihood and family. One of the effective treatment consists of using an electronic device to suppress the tinnitus noise. Which finding the frequency of the tinnitus. noise and suppressing requires a lot of instrumental support. Thus if t can be possible that by observing and analysing the tinnitus noise by the electronic device in the ear, the device itself finds the tinnitus noise frequency and suppress it accordingly, bringing benefit to the patient suffering from tinnitus.",Angular,JAVA,
Virtual Zoo,"Design software and hardware to display holograms of existing and extinct species of flora and fauna to depict complex ecosystems from various parts of the world. The virtual zoo could be displayed in schools, museums, and Ministries without using much physical space. The zoo could also hold educational sessions about the environment within the virtual space using pre-recorded videos of teachers from around the world.",JavaScript,PHP,
Water and Electricity Tracking App,A mobile application that helps you limit your water and electricity usage to a predetermined goal by outlining the behavioural change that would be required to meet those targets. Behavioural nudges ought to be embedded in the user experience based on deep research about the best practices of efficient water and electricity usage from around the world.,Materialize,ASP.NET,
E-Waste Facility Locator,Website that tells you the location of the nearest e-waste collection and recycling facility. Offers educational pop-ups on the harmful components of your e-waste and their effects on the environment and human health if not disposed correctly. There could be an option to input the model of your old device and earn credit points relative to the amount of precious metals recovered from the device if disposed correctly.,Angular,ASP.NET,
Behavioural change monitoring software,A software that allows the ministry to monitor the success of their behavioural nudges in real time with respect to consumer choices and environmentally friendly actions. The software will define certain measurable outcome indicators and track the changes in them over time. The changes will be correlated to LiFE activities and awareness programmes to measure the success of the behavioural nudges.,"HTML,React",PHP,
Pro Planet Person App,"A mobile application that tracks userÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s activities and actions and tells the user if s/he is Pro Planet. Also offers suggestions on how to become a Pro Planet Person. Can use pop-ups and fun facts to nudge behaviors. The app can track behaviorÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s across other selected apps such as food delivery, online ordering, etc. to nudge the users to choose sustainable alternatives in real time. For example, while ordering food, the app will send a pop-up reminding the user to deselect the option of disposable cutlery.",Bootstrap,JAVA,
"To develop centralised information security .Log-collection facility' or 'security operation centre (soc)' in the power sector, considering cEA cybersecurity (Power sector) Guidelines, 2021to keep lr and or networking System isolated and air-gapped.","Cyber intrusion attempts and cyber-attacks in any critical sector are carried out with a malicious intent. ln Power sector, it's either to compromise the power Supply system or to render the grid operation in-secure. Any such compromise may result in maloperation of equipmentÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s, equipment damages or even in a cascading grid brownout/blackout. The much-hyped air gap myth between lr and or systems now stands shattered. The artificial air gap created by deploying firewalls between any lr and or system can be jumped by an insider or an outsider through social engineering. Cyber-attacks are staged through tactics and techniques of lnitial Access, Execution, persistence, privilege Escalation, Defense Evasion, Command and Control, Exfiltration. After gaining an entry inside the system through privilege escalation, the control of lr network and operations of or systems can be taken over even remotely by any cyber adversary. The gain of sensitive operational data through such intrusions may help the Nation/State sponsored or non-sponsored adversaries and cyber-attackers to design more sinister and advanced cyber-attacks. How to develop centralized information security log-collection facility or Security Operation Center (SoC) in the Power Sector, considering cEA cybersecurity (power Sector) Guidelines- 2021, to keep lT and OT networking System isolated and air-gapped?",Materialize,.NET,
Detection of Malwarei Trojan in softwares used in Power Sector.,"The power system networks are getting automated and softwareÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s are being updated or new SoftwareÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s are being used in the network for various purposes including SCADA, Head End System, Meter Data Management System, Billing System, etc. Most of these softwareÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s are loaded in demilitarized zones; regular patch updates and penetration tests are normally avoided on the live systems. These systems become vulnerable, and hackers try to exploit such systems using various attack vectors. The challenge is to validate presence of malicious codes if any in the softwareÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s which could exploit specific attacks including the zero day attack.",React,.NET,
Virtual Zoo,Creating a virtual zoo experience using immersive technologies.,JavaScript,PHP,
Water and Electricity Tracking App,"""Developing a water and electricity tracking application.""",Materialize,ASP.NET,
E-Waste Facility Locator,Creating an e-waste facility locator application.,Bootstrap,ASP.NET,
Behavioural change monitoring software,Behavioral change monitoring software for tracking and analyzing user habits and actions.,"HTML,Bootstrap",.NET,
Pro Planet Person App,Pro Planet Person: An app for eco-conscious living and sustainability.,"CSS,React",.NET,
"To develop centralised information security .Log-collection facility' or 'security operation centre (soc)' in the power sector, considering cEA cybersecurity (Power sector) Guidelines, 2021to keep lr and or networking System isolated and air-gapped.","To develop a centralized Security Operations Centre (SOC) or log-collection facility in the power sector, adhering to CEA Cybersecurity Guidelines 2021, ensuring isolation and air-gapping of OT and IT networking systems.",JavaScript,ASP.NET,
Detection of Malwarei Trojan in softwares used in Power Sector.,Detection of malware and trojans in software used within the power sector.,Angular,JAVA,
Detection of embedded Malware/ Trojan in hardware devices used in Power Sector.,Detection of embedded malware and trojans in hardware devices utilized within the power sector.,Bootstrap,PHP,
Developing a software for dubbing of videos from English to other Indian regional languages.,"CIPAM is engaged in the creation of promotional and awareness videos on Intellectual Property in India. A software that can be used for dubbing of videos from English to other Indian regional languages would help in mass outreach of such videos for public awareness. The software must produce a voiceover (in a human like voice) in Indian vernacular languages like Hindi, Marathi, Bengali, Gujarati, Tamil, Telugu, etc. as well as text supers that is dubbed from English to other Indian regional languages. The translated voiceover must also be in simple language, easy to understand and must not be colloquial in nature. A sample video has been provided for reference.",Materialize,PHP,
Developing a software that can translate resource material and other texts from English to other Indian regional languages.,"CIPAM is actively involved in furthering IPR awareness, commercialization and enforcement. In this regard, CIPAM has created various educational tools and resource materials for easy understanding by students, industries, general public, police, judiciary and custom official. For wider outreach there is a requirement for a software that can translate these resource materials and texts from English to other Indian regional languages. The software should assist in translation of these texts created in multiple forms: word document, pdf document, text in images etc. The software should aid in generating output that captures the true meaning of the text and not just the literal meaning. It should provide the option of generating translated texts in the following languages: Hindi, Marathi, Bengali, Gujarati, Tamil and Telugu. The translated texts must also be in simple language, easy to understand (especially by the general public) and must not be colloquial in nature. A sample text has been provided for reference.","HTML,CSS,React",Python,
Developing an interactive gaming software / mobile application on Inteliectual Property Awareness for school students,"One of the primary objectives of CIPAM is to create educational tools and resources for Intellectual Property Awareness at school level. School students learn best when technical areas of law are gamified and interactive in nature. The interactive gaming software/mobile application should aim at teaching the basics of Iintellectual Pproperty Rrights (IPR) to students, including: Patents, Trademarks, Copyrights and Designs that can be used both inside and outside of the classroom and out. The game can have different activities on the IPs mentioned above, arranged at different levels of progression: basic, intermediate and advanced. It should also include elements such as: scoreboard, map of progress, factual titbits and a quick recap at the end. On completion of the game, the students should be able have a basic understanding of these IPs as a learning outcome.","HTML,CSS,React",Python,
Optimizing Doctor Availability and Appointment Allocation in Hospitals through Digital Technology and Al Integration.,"To develop a digital system that streamlines the appointment scheduling process in hospitals by automating the process of identifying doctor availability and appointment slot allocation. The system will utilize advanced technologies such as RFID, face detection, proximity of Mobile phone, or any other relevant technology to detect the presence of doctors in the hospital. The system will use Artificial Intelligence (AI) to allocate appointment slots based on the doctor's presence and the number of waitlisted patients. This will improve the overall patient experience by reducing the wait time. In conclusion, the proposed digital system will improve the efficiency and convenience of the appointment scheduling process in hospitals; the patients will benefit with reduced waiting time.","HTML,CSS,React",PHP,
Real-Time Vehicle Tracking system.,"To develop a smart transportation system, which that aims to provide real-time information to the users regarding the availability of buses and their upcoming timings. The system will utilize advanced technologies such as GPS and other relevant services to gather the necessary data for providing reliable information to the users. The proposed system will have to be designed to facilitate the users in identifying the current location of their desired bus, along with the estimated time of its arrival at the respective bus stop. This will be achieved through the integration of the real-time data from the buses, as well as from the traffic management system. In conclusion, the proposed smart transportation system will significantly enhance the efficiency and convenience of the public transportation system in Himachal Pradesh. As a sustainability information to the user, good to indicate emission compliance of the bus e.g. Bharat Stage IV; also if the bus uses clean fuel such as CNG or Electricity","Materialize,Bootstrap",JAVA,
Analysis and identification of malicious mobile applications,"ln today's world, using different mobile applications for specific tasks is very common. This leads to smart phone users accumulating too many applications over a period. Seldom do users delete unused applications. Any application performing malicious tasks can very easily go unnoticed. So, there is a need to develop a mobile app tool that can use open-source intelligence and threat feeds to detect various indicators of compromise in the smartphones. The tool can check network communication to various lP addresses that are suspicious, various URLs that are suspicious, inbound connections or packets from applications that are suspicious.","HTML,CSS,React",ASP.NET,
lntelligent chatbot to answer queries pertaining to various Maintenance Processes within Substation,"Substation Asset Maintenance includes various maintenance activities for various equipment classes such as Transformer, Reactors, Circuit Breaker, lnstrument Transformers, Surge Arrestors etc. Maintenance activity for all these equipments include carrying out various tests and checks for which procedures along with acceptable limits are documented. Need is for creating an intelligent chatbot based on natural language processing which may aid in answering user queries pertaining to various maintenance activities. Examples of such queries include steps to carry out a test, its probable values/ acceptable limits, actions to resolve any issue faced during maintenance. The chatbot should have features for semantic processing of queries. It should also includes industrial standards and safety guidelines and test equipment to follow that activity.","HTML,CSS,React",PHP,
Vegetation measurement along the line corridor using satellite imagery,Solution is required for identifliing vegetation height below the Transmission conductor and raising alarm for lopping them. For this satellite imagery-based analysis is required along with trained machine learning model to simulate growth pattern. The growth pattern of different trees is different. The solution should be able to show the current height after adding the predicted increase in height (from the date of capturing to till date) to the height derived from satellite imagery.,"HTML,CSS,React",PHP,
Segregating and information on regulatory / Gofi. PolicieVGuidelines/Office Memorauda etc. related to Contract and Procurement issues for proper compliance and reporting of the same.,"For adhering to compliance of various procurement and contract management related Regulations/ Policies/ Guidelines /Circulars/ Manuals/ Office Memorandums etc. issued by Govt. of India/ MoF/ MoP/ CVC from time to time for system improvement in the procurement process, such regulations / policies/ Guidelines/ Circulars etc. may require to be put in one place for information, reference, compliance / reporting of the same by the procuring authorities in the required manner like whether adopted in the tender document/ reporting thereof to the concerned made, wherever necessary through creation of a tool/ application /system for effective contract management. The GUI should be user friendly and the documents should be easily accesible.","React Native, Expo, JavaScript",ASP.NET,
"Creation of Live Digital Twins for the power Projects and integration with all existing monitoring and database system which will give a holistic real time approach to the project and plant from all aspect of construction, operation and maintenance.","The comprehensive model should be able to feed-in real time data input and give the necesaary output parameters. For example for a Hydro Project , the inflow input of water in the river should be able to give the real time data ouput such as Energy output, Spilling(if any), Head loss, etc. .It would be a similar dynamic digital replica/mimicry of the real project.","React Native, Expo",.NET,
Centralised Nasha Mukti Database,"Details of counselling and De-Addiction interventions provided to the beneficiaries at facilities supported by MoSJE is not available on a single platform, which could help in analysis of patient-wise, center- wise or State- wise details of services provided, beneficiaries reachedand other relevant details.","HTML,CSS",JAVA,
Online Blockchain based certificate generation and validation system for government organization.,"Currently large no of training programs is organized, and certificates are provided. There is no mechanism to validate digital certificate.so create a system in which custom digital certificate generate. User can store certificate in digital locker system other organization will validate certificate. Use opensource software and blockchain technology. Expected Output: Blockchain Based Certificate generation and validation Certificate can be added in Digital Loker System Users: Government Office, Student, Industry, Institutes",React Native,PHP,
Fake Social Media Profile detection and reporting,"The social life of everyone has become associated with the online social net works. These sites have made a drastic change in the way we pursue our social life. Making friends and keeping in contact with them and their updates has become easier. But with their rapid growth, many problems like fake profiles, online impersonation have also grown. Fake profiles often spam legitimate users, posting inappropriate or illegal content. Several signs can help you spot a social media fake who might be trying to scam your business. Identifying fake social media profiles and taking corrective measures. Expected Output: An Application software that detects the fake social media profile Users: Crime branch and other investigative agencies","Vue.js, Materialize",JAVA,
Self-identifying the mental health status and get guidance for support.,"Considering the increasing burden of the mental disorders (as evidenced in National Mental Health Survey-2016), it is important to identify the people at the risk of developing mental disorder at early stage to take the necessary action. Primary Health Care centre is a gate-keeper of the Indian public health care delivery system and also an opportunity to screen patient for the risk of developing mental disorders. There are some validated tools are available for screen of the person for risk of developing psychiatric disorders, however, ready availability, taking response from patients, interpretation and quick guide for taking action based on the interpretation of the tool score is still challenge for effective and efficient utilization of the screening tool. Expected Output: Mobile application for screening of mental health. Users: Public as well as Frontline Health worker.",Vue.js,ASP.NET,
Student dropout analysis for school education,"Right to education is key concern for government and at school level; drop out ratio is high due to poverty and social, economic reasons. If government have drop out student analysis on following different categories, it will be very useful in framing different policies. 1. School wise 2. Area wise 3. Gender wise 4. Caste wise 5. Age/standard wise Expected Output: Focused interventions on the high dropout rates","JavaScript,Vue.js",.NET,
Startup-AYUSH Portal,"The key objective of the Startup AYUSH portal is to be a one-stop platform for all stakeholders (Startups, Investors, Incubators, Accelerators, Government Agencies, and Public Users) in the AYUSH system to interact and collaborate in a highly dynamic environment. The portal is directed to provide a collaborative platform for all the stakeholders of the AYUSH startups to have an interactive engagement to enhance and bolster the network. It will bring together the entire AYUSH Startup community at the global level through virtual connections, mentorship, and showcase opportunities. It will have a plethora of resources and information guides to propel everyone in their entrepreneurial journey.","HTML,CSS,React",.NET,
Al-based tool for preliminary diagnosis of Dermatological manifestations,"The Global Burden of Disease project has shown that skin diseases continue to be the 4th leading cause of nonfatal disease burden worldwide. These conditions are often the presenting face of more severe systemic illnesses, including HIV and neglected tropical diseases (NTD). such as elephantiasis and other lymphedema-causing diseases. Additionally, skin disorders pose a significant threat to patients' well-being, mental health, ability to function, and social participation. However, it is very difficult to provide better dermatological care to under-served or resource-poor regions in a cost-effective manner owing to unavailability of efficient diagnostic tools, lack of connectivity, and poor laboratory infrastructure etc. Moreover, there is also a scarcity of physicians with dermatological training. Even, preliminary screening of a dermatological manifestation seems to be an arduous task. Thus, developing an Artificial intelligence-based tool (through Image processing technique) for preliminary diagnosis of numerous dermatological conditions will prove to be a boon in the health care system.",Materialize,ASP.NET,
Identification of Different Medicinal Plants/Raw materials through Image Processing Using Machine Learning Algorithms,"ndia, with a rich heritage of floral diversity, is well-known for its medicinal plant wealth, but their identification is one of the major burning issues in Ayurvedic Pharmaceutics. Several crude drugs are being sold under the same name in the market leading to confusion and their misidentification. Even the collectors and traders are not completely aware of the exact morphological appearance or differentiating attributes of the many drugs owing to seasonal and geographical availability, and similar characteristics. Moreover, the extensive consumption to meet demand-supply ratio exerts a heavy strain on the existing resources. It further leads to the practice of adulteration, substitution, and disbelief in the curative capability of the system eventually. Thus, software capable of identifying different medicinal plants/ raw materials through Image Processing Using Different Machine Learning Algorithms will be of immense use. It will be helpful at every level viz. wholesaler, distributor, etc. of the supply chain of raw material being utilized in the system.",Bootstrap,Python,
Development of a prototype instrument (sensor based) for assessment and quantification of rasas (taste) in crude herbs.,"Every herb used in the Ayurveda possesses some Taste (Rasa) and most important of them are -Madhura (Sweet). Amla (Sour), Katu (Pungent), Tikta (Bitter), Kashaya (Astringent). The rational application of herb in management of various diseases also depends on selection of herbs as per their rasa (Taste) as rasa (Taste) has the potential to effect the physiology of human body. Further, the same principle also applied for dietary items for their use in health management In fact, management of physiological units Vata, Pitta or Kapha (Body humors) may also be done on rational application of dravyastmaterials of dietary and medicinal value) based on rasa (taste). However, it is simple to identify rasa (taste) through tongue but it is not possible to quantify Further, the potency of herbs also depends on its rasa. Thus, quantification of rasa (taste) in crude herbs is also needed for quality assessment of crude herbs. Solution Need to develop an instrument (Tongucometer) which can quantify the Taste (rasa)-(Madhura (Sweet), Amla (Sour), Katu (Pungent), Tikta (Bitter), Kashaya (Astringent)) present in the materials used as diets and medicine through a sensor-based instrument?""""","React Native, Expo, JavaScript",JAVA,
PG dissertation Management System Description.,"PG dissertation is the partial requirement for the fulfillment of Pg degree. During 1st year of post graduation, student select PG dissertation topic and carry out research under supervision of PG guide and submit dissertation during final year of evaluation. The following are the major steps of the dissertation: Selection of topics: 1. As per the thrust ideas of research of a particular department. 2. Maintaining student guide ratio. 3. To avoid duplication. Approvals and ethical issues. Monitoring research progress. Evaluation of dissertation. Publication if any, out of dissertation research. Maintenance of database of all dissertations under various categories with search option. With holding of university final year results in case of disapproval of PG dissertation. Managing and monitoring all the above aspects throughout the country maybe a herculean task. An application to ease the process and improve the quality of research is essential."," Expo, JavaScript",PHP,
Application for Assessment of Quality of Textbook/ Reference Books/ E- Book,"The medical students aiming to be good physicians, need to select a standard medical textbook. It is evident that there are several books made available in ASU (Ayurveda, Unani, Siddha) medical systems and every book claims that the book has been written as per CCIM or NCISM syllabus. Amongst some are good and some are of poor quality and were written with vested interest. Due to this, students are trapped by substandard books that leads to poor quality standard among students. Identifying this issue and its impact on medical on the medical system, NCISM constituted an expert committee for the development of an assessment scale for textbooks/ reference books. The expert committee after thorough deliberations developed the assessment scale for the quality assessment of textbooks/ reference books. This assessment scale serves the purpose of:- ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¢Selection of quality textbooks by teachers for their students. Serving as a reference for textbook writers. ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¢ Providing criteria to recommend for inclusion in the list of recommended apex/ regulatory bodies. The assessment process requires a review of the books by reviewers (subject-wise reviewers located across the country, 3 reviewers per book) and summarizing the reviewer's remarks and decision by the committee. The development of an application on this will help to get reviews from people around the world online and also will help to summarize all the reviewed data in a faster mode.","Ember.js, CSS, HTML",JAVA,
Automation of drill core rock sample lithology logging.,"The lithology of drilled core samples in exploration is usually identified on the basis of grain size, color, cementing material, mixing of grains of different sizes (sorting), packing and compactness of grains roundness of grains. The Luster and specific gravity of the sample also play a crucial role in the identification of core rock samples with respect to dimensions. The geological discontinuities are identified on the basis of fractures, joints, and litho-contacts. Hence, the development of a device assembly, that scans the drill core rock sample and identity the lithology and geological discontinuities on the basis of above said parameters by the artificial intelligence with given standards.","HTML,CSS,React",Python,
Unpredictable failure of poly pulleys along cable belt conveyor system for pulley changing,"There are more than 18,000 nos. of poly pulleys along the conveyor length which undergo wear and tear and need replacements including emergency replacements stopping the conveyor system. Solution Desired: Based on past data and the use of suitable ML software, the pulley failures with its locations can be predicted which would help in avoiding sudden stoppages of the conveyor.","HTML,CSS,React",PHP,
Domestic Waste Management,"Improper waste disposal not only contributes to environmental pollution but also affects the overall cleanliness and hygiene of a neighborhood. The challenge is to develop innovative solutions that address the specific issue of neighbors disposing of waste bags irresponsibly, causing litter and unsightly conditions. Participants are encouraged to propose and implement ideas that tackle this challenge and promote responsible waste management practices within the community. The solutions should focus on: Awareness and Education: Develop educational campaigns or initiatives to raise awareness among neighbors about the importance of proper waste disposal. This can include distributing informative materials, organizing community workshops, or leveraging digital platforms to educate residents about waste management best practices. Behavioral Change: Design strategies to encourage neighbors to adopt responsible waste disposal habits. This can involve implementing incentive programs, creating friendly competitions, or establishing neighborhood agreements that promote and reward responsible waste management behaviors. Community Engagement: Foster a sense of community ownership by engaging residents in waste management activities. This can involve organizing neighborhood clean-up drives, establishing community composting initiatives, or facilitating recycling programs to encourage active participation and responsibility among neighbors. Infrastructure Improvement: Propose solutions that address the lack of proper waste management infrastructure in the neighborhood. This can include advocating for the installation of additional waste bins, implementing a neighborhood waste collection system, or collaborating with local authorities to improve waste disposal facilities. Technology and Innovation: Leverage technology to support responsible waste management practices. This can involve developing mobile applications for waste collection scheduling and reminders, implementing smart waste bins with sensors and monitoring capabilities, or using blockchain technology to track and incentivize proper waste disposal. By addressing these aspects, the proposed solutions will contribute to overcoming the challenge of neighbors disposing of waste bags irresponsibly and promoting a cleaner, more sustainable neighborhood. The solutions should be practical, scalable, and feasible to implement within a residential community, fostering positive behavioral changes and encouraging a collective effort toward responsible waste management.","React Native, Expo",.NET,
"Compilation and Collection of optimum Level (variable) of data set from the Chemical and Petrochemical Industries in the country, aiming to smoothen the decision-making and insight generation in the strategic initiative.","The chemical and petrochemical industries generate a vast amount of data related to production, supply chain, market trends, quality control, and environmental impact. However, the availability, accessibility, and organization of this data vary across different companies and stakeholders, hindering effective decision-making and insight generation at a broader industry level. The challenge is to develop a solution that enables the compilation and collection of an optimum level of data sets from the chemical and petrochemical industries. The solution should address the following key aspects: Data Standardization and Integration: Design a framework that standardizes data formats, definitions, and structures across various companies and stakeholders within the industry. The solution should facilitate the integration of disparate data sources, including production data, laboratory test results, market data, and regulatory information, into a cohesive dataset. Data Collection and Aggregation: Develop mechanisms for efficient data collection and aggregation from chemical and petrochemical companies. The solution should include automated data collection processes, data validation, and quality checks to ensure the accuracy and reliability of the compiled dataset. Optimum Level of Data Selection: Define criteria and algorithms to determine the optimum level of data to be collected and included in the dataset. The solution should consider factors such as data relevance, representativeness, statistical significance, and data privacy regulations to ensure the collection of meaningful and valuable information without compromising data confidentiality. Data Analysis and Insight Generation: Implement analytical tools and techniques to analyze the compiled dataset and generate actionable insights. The solution should enable stakeholders to identify trends, patterns, and correlations within the data, facilitating strategic decision-making, performance benchmarking, and industry-wide improvements. Data Privacy and Security: Incorporate robust data privacy and security measures to protect sensitive information and ensure compliance with applicable regulations. The solution should prioritize data anonymization, encryption, access controls, and audit trails to safeguard the confidentiality and integrity of the collected data. By addressing these aspects, the proposed solution will streamline data compilation and collection processes within the chemical and petrochemical industries. It will enable stakeholders to access comprehensive and reliable datasets, promote data-driven decision-making, facilitate industry-wide insights and collaboration, and drive strategic initiatives for growth, sustainability, and innovation in the industry.",React,ASP.NET,
In-cab smart guidance and support system for Dragline Operator,"Operating a dragline, a large excavation machine used in mining and construction requires precision, skill, and a deep understanding of the operating environment. However, there is a need for a smart guidance and support system that assists dragline operators by providing real-time information, alerts, and guidance, ultimately enhancing their performance and ensuring safe and accurate operations. The challenge is to develop an in-cab smart guidance and support system that empowers dragline operators with the following capabilities: Real-time Environmental Awareness: Develop a system that utilizes computer vision or sensor-based technologies to provide dragline operators with real-time information about their surroundings. This includes detecting and alerting the operator about potential hazards, obstacles, or unsafe conditions, such as proximity to other equipment, uneven terrain, or approaching vehicles. Operational Guidance and Monitoring: Create an interface that offers intuitive guidance and instructions to the dragline operator based on real-time data analysis. The system should provide visual cues, overlays, or augmented reality displays that assist the operator in achieving precise digging, loading, and dumping operations, optimizing productivity, and minimizing material loss. Performance Monitoring and Analysis: Implement mechanisms to track and analyze the performance of dragline operators in real time. The system should capture relevant operational data, such as cycle times, digging depth, fuel consumption, and maintenance requirements, to provide feedback and performance metrics that can be used for continuous improvement. Operator Training and Skill Development: Design interactive modules or simulations within the system that facilitate operator training and skill development. The system should provide virtual scenarios, real-time feedback, and performance benchmarks to help operators enhance their skills, decision-making abilities, and overall efficiency. Integration and Scalability: Develop a solution that can seamlessly integrate with existing Dragline systems and infrastructure. The system should be compatible with the dragline's control systems, sensors, and data sources, ensuring reliable data transmission and compatibility across different dragline models or manufacturers. By addressing these aspects, the proposed in-cab smart guidance and support system will enhance the situational awareness, operational efficiency, and safety of dragline operators. It will empower operators to make informed decisions, optimize their operations, and contribute to the overall productivity and success of mining or construction projects.",Angular,JAVA,
Forecasting and scheduling of railway rakes.,"At present rake supply is made by railway on a cluster basis / Coalfield basis for a group of mines. â€¢ At times, the placement of rakes in a siding is made where coal sock is not adequate. This leads to the payment of demurrage charges. â€¢ A digital platform/ algorithm needs to be created for all the available railway siding where the updated status of coal stock in siding shall be maintained online. â€¢ This will help in sending railway rakes available at the nearest location and also reduce in demurrage cost of the company.","HTML,CSS",Python,
Analytics based on Govt. Land Information System(GLIS) Data,"The Government Land Information System (GLIS) contains a vast amount of geospatial data related to land resources, land ownership, boundaries, land use, and other valuable information. However, harnessing the potential of this data and transforming it into actionable insights remains a challenge. The goal of this hackathon is to develop analytics solutions that leverage GLIS data to address critical societal challenges and support evidence-based decision-making. Participants are encouraged to explore and analyze GLIS data in creative ways to generate meaningful insights. The solutions should focus on one or more of the following domains: Urban Planning: Develop analytics tools that enable urban planners to make informed decisions regarding land use, zoning regulations, infrastructure development, and urban expansion. The solutions should help optimize resource allocation, improve urban mobility, and enhance the quality of life in cities. Infrastructure Development: Design analytics models that identify optimal locations for infrastructure projects such as roads, bridges, airports, or power plants. The solutions should consider factors like environmental impact, accessibility, population density, and existing infrastructure to support sustainable and efficient development. Environmental Conservation: Develop analytics-based approaches to monitor and manage natural resources, protected areas, and environmental impact assessments. The solutions should enable the identification of ecologically sensitive areas, conservation priorities, and strategies for mitigating environmental risks. Land Management and Governance: Create analytics solutions that facilitate efficient land administration, land registration, and land-use planning processes. The solutions should enhance transparency, streamline land transactions, prevent encroachments, and support equitable distribution of land resources. Socio-economic Analysis: Utilize GLIS data to conduct socio-economic analysis at various spatial scales. Develop models that correlate land characteristics, demographic data, economic indicators, and social factors to gain insights into patterns, disparities, and potential interventions for inclusive development. Participants should leverage their expertise in data analytics, machine learning, geospatial analysis, and visualization to create innovative solutions. The solutions should demonstrate the ability to handle large datasets, ensure data quality, provide accurate predictions or recommendations, and offer user-friendly interfaces for stakeholders to interact with the insights generated. By harnessing the power of GLIS data through advanced analytics, the proposed solutions will empower government agencies, policymakers, urban planners, environmentalists, and other stakeholders to make informed decisions, optimize resource allocation, and foster sustainable development in various domains.","Vue.js, Materialize",PHP,
Development of a Digital Platform for multi-modal visibility of coal transportation,"Coal transportation involves a complex network of multiple modes of transportation, including trucks, trains, and ships. However, the lack of a unified digital platform for tracking and monitoring coal movement across these modes often leads to inefficiencies, delays, and a lack of transparency in the coal supply chain. This hampers the ability of stakeholders, such as coal producers, transporters, and end-users, to make informed decisions and optimize logistics operations. The challenge is to develop a digital platform that provides multi-modal visibility of coal transportation, allowing stakeholders to track the movement of coal from source to destination seamlessly. The platform should leverage image analytics, data integration, and advanced visualization techniques to provide real-time insights into the location, status, and condition of coal shipments. It should enable effective coordination, proactive decision-making, and optimization of logistics operations for all stakeholders involved in the coal supply chain. The solution should address the following key aspects: Data Integration: Create a scalable and robust system that integrates data from various sources, such as GPS devices, sensors, transportation management systems, and third-party APIs. The platform should be capable of handling large volumes of data from different modes of transportation and ensure the accuracy and reliability of the integrated information. Multi-Modal Tracking: Develop image analytics capabilities to analyze real-time images or video feeds from cameras installed at critical points in the coal transportation network. The platform should identify and track coal-carrying vehicles, wagons, or ships, and provide accurate information on their location, movement, and capacity utilization. Real-Time Visualization: Design an intuitive and user-friendly interface that displays real-time data on the location and status of coal shipments across multiple modes of transportation. The platform should provide interactive maps, dashboards, and alerts that enable stakeholders to monitor and analyze the coal transportation process effectively. Analytics and Optimization: Incorporate advanced analytics techniques to generate insights and actionable recommendations for optimizing coal logistics operations. The platform should identify bottlenecks, predict delays, and suggest alternative routes or transportation modes to improve efficiency, reduce costs, and minimize environmental impact. Security and Privacy: Implement robust security measures to protect sensitive data and ensure the privacy of stakeholders. The platform should adhere to industry best practices for data encryption, access control, and compliance with relevant regulations. By addressing these aspects, the proposed digital platform will enable stakeholders in the coal supply chain to gain real-time visibility and insights into multi-modal coal transportation. This will lead to improved operational efficiency, reduced transportation costs, enhanced transparency, and better decision-making for all parties involved in the coal supply chain.","HTML,CSS,React",.NET,
